custom/blocked_time,custom/overtakes,train/actor_loss,custom/overtake_reward,custom/routes_completed,custom/total_reward,train/learning_rate,train/critic_loss,train/n_updates,train/ent_coef,custom/avg_speed,custom/mean_reward,custom/total_distance,train/ent_coef_loss,train/std,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,attention/steer_share/next_angle,attention/steer/cam,attention/steer/next_angle,attention/throttle/maneuver,attention/throttle/lidar,attention/steer/route,attention/steer_share/cam,attention/steer/lidar,attention/throttle/waypoints,attention/throttle/next_angle,attention/steer_share/speed,attention/throttle/sensors,attention/throttle_share/speed,attention/steer_share/lidar,attention/throttle_share/cam,attention/steer_share/maneuver,attention/steer/waypoints,attention/steer_sensors_vs_route,attention/steer/speed,attention/steer/maneuver,attention/throttle/cam,attention/throttle/speed,attention/throttle_share/next_angle,attention/throttle_share/waypoints,attention/throttle/prev_action,attention/steer_share/prev_action,attention/throttle_share/lidar,attention/throttle/route,attention/steer/sensors,attention/throttle_share/maneuver,attention/steer/prev_action,attention/steer_share/waypoints,attention/throttle_share/prev_action
0.0,0,-17.146587371826172,25.08025531813579,0.028272251308900525,28.977241277021832,9.992393399915671e-05,0.21005940437316895,28246,0.062460750341415405,30.113510337887483,0.213067950566337,56.629649206995964,-4.337551593780518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,-15.404377937316895,108.54015154167767,0.2495982860203535,280.2823476011066,9.992154187048798e-05,0.048050835728645325,29449,0.05529555678367615,26.525401849695395,0.23279264750922476,443.2265837593004,-8.612264633178711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,-13.944957733154297,0.0,0.029698769622401356,9.262736468971305,9.992117798311252e-05,0.10586829483509064,29632,0.054252516478300095,27.18428904771325,0.050340959070496225,69.27515726722777,-7.691137313842773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.050000000000065,0,-14.226694107055664,0.0,0.04938271604938271,21.86130866693469,9.992061922838423e-05,0.054457347840070724,29913,0.052794523537158966,24.478741419507468,0.07752237115934288,95.6583535047248,-6.96616268157959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.22052721679210663,228,167,49.535472340000005,39914,10,297.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-14.12474536895752,,,,9.992044822191285e-05,0.23616808652877808,29999,0.05236835032701492,,,,-6.152576446533203,,,,,,,,1.3306266069412231,0.4517284035682678,0.01997414045035839,0.02243153750896454,0.10036284476518631,0.4197036027908325,30.093002319335938,0.12321699410676956,0.02055901475250721,0.002663602354004979,4.278757572174072,0.2711925506591797,10.533313751220703,8.208403587341309,47.25883865356445,7.618546962738037,0.3683686852455139,1.1585878133773804,0.06422876566648483,0.11436259746551514,0.19874119758605957,0.04429654777050018,0.6333802342414856,4.8887457847595215,0.031482845544815063,23.930877685546875,23.865365982055664,0.037981174886226654,0.4862634837627411,5.334014415740967,0.3592282831668854,24.5397891998291,7.486332416534424
0.0,0,-13.22675895690918,193.64857153708127,0.23425692695214106,343.8569416773753,9.991730848969965e-05,0.08575205504894257,31578,0.04529595747590065,25.114101532509935,0.20639672369590353,580.76528204442,-7.5363264083862305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7499999999999947,0,-13.153879165649414,0.0,0.03516028955532575,44.63078387103157,9.991699034354005e-05,0.09030793607234955,31738,0.04460947960615158,31.554616066418497,0.2772098377082706,70.3622683705762,-6.041999816894531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,-12.81357479095459,0.0,0.014964216005204945,-1.9653296285110233,9.991684121270298e-05,0.04866980016231537,31813,0.04431312531232834,21.624608359342325,-0.025859600375145043,22.586931967176497,-5.544186592102051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,-13.065732955932617,141.46149849688817,0.1088560885608856,122.4937634410557,9.991587285918876e-05,0.05831213295459747,32300,0.04244387522339821,24.04504539648541,0.25101181033003217,162.76919934013858,-6.216314792633057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.21987992525100708,232,377,54.91208841999999,42301,11,318.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,-12.917659759521484,102.12468579819163,0.04140885292717753,138.62671735759065,9.991465993844216e-05,0.033694200217723846,32910,0.040274038910865784,10.903220318474322,0.22688497112535294,92.42808905185666,-7.014442443847656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,-12.807220458984375,147.4979998641607,0.21021820117083556,286.0439010841924,9.991297776880112e-05,0.08111608028411865,33756,0.037332724779844284,31.504889744324036,0.33771416893056955,370.33241419121623,-5.212731838226318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44999999999999996,0,-12.905031204223633,19.429661159319227,0.170059093893631,152.71898909262333,9.991206709661186e-05,0.06546878814697266,34214,0.03575670346617699,39.77635842829776,0.3327211091342556,253.22938378434628,-5.643983840942383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44999999999999996,0,-13.18991756439209,0.0,0.017263703064307294,-2.8392484554193373,9.991184638847779e-05,0.1091749370098114,34325,0.03539006784558296,25.69633096012098,-0.025350432637672653,39.76302962237969,-7.85798454284668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.21944524347782135,236,564,60.748700830000004,44326,10,335.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,-13.820123672485352,0.0,0.0399529964747356,21.419528060716445,9.991153222777257e-05,0.09768620133399963,34483,0.034870248287916183,31.168576971980027,0.13471401296048077,68.57862966321409,-6.607224464416504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.14999999999844,0,-15.81344985961914,439.51215953977976,0.6772679874869656,984.4707352590989,9.990479777557741e-05,0.06125257909297943,37870,0.02553284913301468,26.070528251411993,0.29057577782145777,1226.153555030236,-3.9166297912597656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5499999999999999,0,-15.177505493164062,0.0,0.017892644135188866,2.931721509539848,9.990464865388536e-05,0.11892230808734894,37945,0.025356166064739227,25.90054350722327,0.03857528302026116,27.15068151988089,-10.005145072937012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.499999999999999,0,-15.407543182373047,36.95344473820505,0.08116883116883117,146.8651958005289,9.990388117601289e-05,0.14353585243225098,38331,0.02445673756301403,32.298585673551905,0.3794966299755269,173.3883702158928,-5.61345100402832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.2186545580625534,240,939,72.46482608,48332,10,372.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,-15.738740921020508,0.0,0.021255561047948592,19.552613648318804,9.990367837147412e-05,0.1164679229259491,38433,0.024240536615252495,30.107408431253965,0.1898312004691146,42.897248923778534,-6.92869758605957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,-15.716543197631836,0.0,0.039085989176187615,48.74901567427766,9.99034159188487e-05,0.07206650078296661,38565,0.023955168202519417,35.010141354810685,0.3665339524381779,64.48873547744006,-3.175529956817627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3999999999999995,0,-15.917826652526855,8.23041628389605,0.17846693973083674,112.03551556608014,9.990212752007651e-05,0.07554709911346436,39213,0.022588493302464485,32.506107483864476,0.1726279130448076,292.48480684449896,-4.3161420822143555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.6499999999999915,0,-14.843194961547852,0.0,0.054567749846719804,25.916361501157404,9.99017398091174e-05,0.31476515531539917,39408,0.022182293236255646,32.68971261923223,0.1322263341895786,88.75210528215393,-5.605500221252441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.2184574455022812,244,1036,74.79199817,49409,10,380.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
