custom/avg_speed,custom/total_distance,custom/routes_completed,custom/mean_reward,custom/total_reward,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,train/std,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
11.073134806157253,10.302857964066789,0.2564102564102564,0.1451932405008561,9.873140354058215,,,,,,,,,,,,,
19.410889089932866,29.193703013646882,0.1228813559322034,0.10012778986527641,10.91392909531513,,,,,,,,,,,,,
21.618828577392264,39.6956120718969,0.7068965517241379,0.20329258937023115,27.037914386240743,,,,,,,,,,,,,
7.795155364671822,5.7855790972243994,0.11320754716981132,-0.037018725145502036,-1.99901115785711,,,,,,,,,,,,,
,,,,,90.0,18,11.385085499999999,18,360,4,0.04978706315159798,,,,,,
7.617890416144705,5.586638525361195,0.10344827586206896,-0.05649891406296114,-3.0509413593999017,,,,,,,,,,,,,
15.319345100145732,18.7386140616145,0.04568527918781726,0.06882452094168146,6.125382363809649,,,,,,,,,,,,,
15.16237614580292,18.796231588581577,0.4318181818181818,0.10013250723211659,9.011925650890493,,,,,,,,,,,,,
9.558089451899882,9.030160903232172,0.021176470588235293,-0.01774539028429023,-1.224431929616026,,,,,,,,,,,,,
,,,,,82.25,20,7.0147133749999995,31,658,8,0.04978706315159798,,,,,,
9.935667127354709,12.645530457608402,0.28888888888888886,0.17596300453240363,16.364559421513537,,,,,,,,,,,,,
17.564210783644743,24.678130361251533,0.06593406593406594,0.2746663992356614,28.01597272203746,,,,,,,,,,,,,
9.926477180302763,9.376774112926796,0.23809523809523808,-0.02760222917061015,-1.9045538127721002,,,,,,,,,,,,,
14.73652365690707,19.25933978217654,0.04926108374384237,0.15581795405427895,14.8027056351565,,,,,,,,,,,,,
,,,,,84.41666666666667,22,9.425966833333334,44,1013,12,0.04978706315159798,,,,,,
8.820596387485471,7.583308573113754,0.03524229074889868,-0.014569449555165525,-0.9178753219754281,,,,,,,,,,,,,
9.758247077736318,9.210611650021747,0.013196480938416423,0.02853050695023944,1.9686049795665213,,,,,,,,,,,,,
10.36650141205936,8.6396512745996,0.20454545454545456,0.006684299645702786,0.4077422783878699,,,,,,,,,,,,,
8.624314786762508,5.72651467169635,0.015151515151515152,-0.06454604484828959,-3.16275619756619,,,,,,,,,,,,,
,,,,,78.1875,22,6.945171124999999,56,1251,16,0.04978706315159798,,,,,,
12.454761099474192,12.735544560011476,0.2765957446808511,0.23453717863556936,17.355751219032133,,,,,,,,,,,,,
