train/ent_coef,train/learning_rate,custom/routes_completed,train/n_updates,train/actor_loss,train/critic_loss,custom/mean_reward,custom/overtake_reward,custom/avg_speed,custom/blocked_time,custom/total_reward,train/ent_coef_loss,custom/total_distance,custom/overtakes,rollout/ep_len_mean,train/std,time/time_elapsed,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,attention/throttle/waypoints,attention/steer/cam,attention/throttle_share/lidar,attention/throttle/maneuver,attention/throttle/sensors,attention/steer/next_angle,attention/throttle/speed,attention/throttle_share/cam,attention/steer_share/speed,attention/steer/waypoints,attention/throttle_share/next_angle,attention/throttle/next_angle,attention/throttle_share/prev_action,attention/throttle/lidar,attention/steer_share/next_angle,attention/steer_share/prev_action,attention/steer_share/waypoints,attention/steer/speed,attention/steer/route,attention/steer_share/lidar,attention/throttle_share/maneuver,attention/steer/sensors,attention/throttle_share/speed,attention/throttle/route,attention/steer_share/maneuver,attention/steer_share/cam,attention/throttle_share/waypoints,attention/steer/maneuver,attention/steer/lidar,attention/throttle/cam,attention/steer_sensors_vs_route,attention/steer/prev_action,attention/throttle/prev_action
0.00906284898519516,9.987621404396954e-05,0.5089005235602094,52261,-18.452537536621094,0.038642093539237976,0.3987594147588393,415.64475392685756,39.33535194869376,0.3,704.2091264641102,-8.13164234161377,964.4415261582471,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,492.81,0.21375428140163422,91,62262,268,19,111.67013284999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008959569968283176,9.987587814672468e-05,0.051940298507462686,52430,-18.37287139892578,0.08194771409034729,0.1798137187168296,39.1511734286185,39.38176790337975,1.3500000000000005,30.56833218186103,-1.512455940246582,92.79789029061794,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008874928578734398,9.987558398865698e-05,0.03688141923436041,52578,-18.151334762573242,0.06721782684326172,0.30211523395146533,37.678099357058734,38.96329365426558,0.0,45.01516985876833,0.0884203165769577,80.34239275194705,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008831041865050793,9.987543094713174e-05,0.01765375854214123,52655,-18.28026580810547,0.277515709400177,-0.0906929691925046,0.0,25.876111141147,3.8499999999999943,-7.074051597015359,-2.4970521926879883,27.81232421193272,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00873713567852974,9.987488039612592e-05,0.043799212598425195,52932,-18.59410858154297,0.06613703072071075,0.10064324273310274,0.0,21.08365338552616,13.850000000000062,27.978821479802562,-1.0617402791976929,81.17275501508266,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,494.9,0.21347206830978394,125,62933,272,19,112.65003079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00859773438423872,9.987383097460602e-05,0.16046966731898238,53460,-16.857261657714844,0.05613405629992485,0.15696051318855625,39.527037214623896,30.00667480502417,5.04999999999999,83.03211147674625,-0.8584070205688477,220.18972272705287,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00858257431536913,9.987365408402433e-05,0.020532741398446172,53549,-16.822856903076172,0.10250270366668701,0.11460074181683942,0.0,29.323717116672984,0.0,10.314066763515548,2.3841795921325684,36.44636216200888,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008390679024159908,9.987239399162701e-05,0.12917115177610333,54183,-15.99619197845459,0.04848531633615494,0.27322132754685,170.4968818032336,29.48469440889988,0.0,173.49554299224977,-1.4478302001953125,259.57475410215557,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
