custom/total_reward,custom/avg_speed,custom/mean_reward,custom/routes_completed,custom/total_distance,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/std,time/episodes,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
9.188879238625393,10.591967253059066,0.13714745132276707,0.023529411764705882,9.702526851557195,,,,,,,,,,,,,
25.611363950671638,18.718663670352495,0.23496664174928109,0.07389162561576355,28.115182971581817,,,,,,,,,,,,,
24.116744702613722,22.241512190070534,0.16864856435394213,0.06304985337243402,43.90325954044238,,,,,,,,,,,,,
13.054766660284454,12.64814046067537,0.14834962113959607,0.03522504892367906,15.261667975690216,,,,,,,,,,,,,
,,,,,100.75,17.81653875,27,14,403,0.04978706315159798,4,,,,,,
-1.2227263880116919,10.501114704937722,-0.021081489448477445,0.0125,8.255989179480821,,,,,,,,,,,,,
2.4554860286513396,11.68134608525628,0.03777670813309753,0.016366612111292964,10.362982418388128,,,,,,,,,,,,,
7.154547781798751,11.336051978759926,0.11006996587382693,0.024271844660194174,10.05965719372034,,,,,,,,,,,,,
1.6290413813016347,10.182570715329806,0.023956490901494626,0.020833333333333332,9.463688848540187,,,,,,,,,,,,,
,,,,,81.875,10.072113125,25,25,655,0.04978706315159798,8,,,,,,
16.04997425480354,10.11906405465917,0.17637334345937958,0.02733485193621868,12.620241119526327,,,,,,,,,,,,,
32.2560824958157,18.0342889192039,0.31316584947393883,0.04868913857677903,25.567118633538485,,,,,,,,,,,,,
-0.7219991310723763,10.279449887589553,-0.011460303667815497,0.017509727626459144,8.837676228489727,,,,,,,,,,,,,
12.001713133779553,16.01786647136163,0.11216554330635096,0.03986135181975736,23.568826363421977,,,,,,,,,,,,,
,,,,,84.58333333333333,11.621422916666667,26,37,1015,0.04978706315159798,12,,,,,,
-0.2448724645737741,9.236231322145207,-0.0038261322589652202,0.012307692307692308,8.046496249968186,,,,,,,,,,,,,
4.364045024677463,8.967517651459682,0.06927055594726131,0.013490725126475547,7.768358101136982,,,,,,,,,,,,,
1.2149569514439182,11.193444088092704,0.01991732707285112,0.019693654266958426,9.324434664100409,,,,,,,,,,,,,
-1.6247568384330595,8.7977644997031,-0.031245323816020375,0.008708272859216255,6.184608716517687,,,,,,,,,,,,,
,,,,,78.1875,8.9038031875,25,48,1251,0.04978706315159798,16,,,,,,
16.562862346757903,12.942394724978532,0.2151021083994533,0.027944111776447105,13.673358738888055,,,,,,,,,,,,,
9.007600041548304,12.31428524145888,0.10008444490609227,0.03529411764705882,15.183912888169289,,,,,,,,,,,,,
11.884512333571479,12.114762100248878,0.17477224019958057,0.0176,11.240853048628196,,,,,,,,,,,,,
29.700808755542653,17.187295282196633,0.3126400921636069,0.046511627906976744,22.44574181176722,,,,,,,,,,,,,
,,,,,78.85,10.4455517,26,59,1577,0.04978706315159798,20,,,,,,
-1.753937390681072,6.496979399081317,-0.04176041406383505,0.009925558312655087,3.7295764181762934,,,,,,,,,,,,,
1.7698631220967904,10.312046372696166,0.029014149542570335,0.023157894736842106,8.588778370700311,,,,,,,,,,,,,
-1.0924222016973797,9.872023379358364,-0.017908560683563602,0.017699115044247787,8.208842537482269,,,,,,,,,,,,,
-0.23670353090108343,10.745841942661611,-0.0038177988855013457,0.01487603305785124,9.228449687361717,,,,,,,,,,,,,
,,,,,74.95833333333333,8.620509833333331,26,68,1799,0.04978706315159798,24,,,,,,
4.589081608526417,11.201733722498574,0.06953153952312753,0.019880715705765408,10.091715193819255,,,,,,,,,,,,,
20.35577983635515,18.282474177524993,0.1475056509880808,0.08641975308641975,34.82099977880716,,,,,,,,,,,,,
-0.9895239953530446,12.343961837080938,-0.01832451843246379,0.016728624535315983,9.070146378828213,,,,,,,,,,,,,
37.00469522025946,16.253608809048178,0.373784800204641,0.03942652329749104,22.31555951293558,,,,,,,,,,,,,
,,,,,76.85714285714286,9.5409525,26,81,2152,0.04978706315159798,28,,,,,,
