custom/total_distance,custom/total_reward,custom/routes_completed,custom/avg_speed,custom/mean_reward,rollout/ep_rew_mean,time/fps,train/std,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,attention/steer/lidar,attention/steer_share/maneuver,attention/throttle_share/cam,attention/steer/sensors,attention/throttle/lidar,attention/throttle_share/prev_action,attention/steer/waypoints,attention/steer_share/cam,attention/steer_share/lidar,attention/steer_share/angle,attention/throttle/speed,attention/throttle_share/maneuver,attention/throttle_share/angle,attention/steer/speed,attention/throttle_share/waypoints,attention/throttle/sensors,attention/throttle/prev_action,attention/throttle_share/lidar,attention/throttle/angle,attention/steer/cam,attention/steer_share/waypoints,attention/throttle/route,attention/steer_share/prev_action,attention/throttle/cam,attention/steer/angle,attention/steer_sensors_vs_route,attention/steer/maneuver,attention/steer/prev_action,attention/steer/route,attention/throttle_share/speed,attention/steer_share/speed,attention/throttle/waypoints,attention/throttle/maneuver,train/n_updates,train/ent_coef,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss
22.188537181180436,-8.33678871276828,0.020657276995305163,16.63179230430119,-0.08594627538936371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.983799781650305,-8.249994452305215,0.007640067911714771,11.225093827948964,-0.1269229915739264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.465774185722694,-2.4887617739321284,0.041848299912816043,23.737518259691583,-0.015851985821223748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.817500140488846,-8.569566788982486,0.012440191387559809,11.650603154596233,-0.11580495660787143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-6.918223749999999,25,0.22313019633293152,15,97.25,4,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.956974700675346,-8.744403753751843,0.03183023872679045,21.343884533555038,-0.0677860756104794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.813325060997158,-6.7056307934933255,0.011607142857142858,13.271518647585149,-0.08823198412491218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.761732424958609,-9.17319228036131,0.0125,12.607881113125913,-0.1008043107732012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.68843053953606,-8.59011374929372,0.028253424657534245,18.38452124089163,-0.06458732142326104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.61541,27,0.22313019633293152,29,101.75,8,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.945668645901605,-9.262418027213503,0.011884550084889643,13.452304220274735,-0.114350839842142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.589530524623115,-9.022622460273146,0.006944444444444444,11.366517498830014,-0.13268562441578155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.091891026124358,-8.581417106977021,0.009361702127659575,12.077007982110588,-0.12808085234294062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.204689761158079,-9.435419596079832,0.008361204013377926,11.201293644028949,-0.1292523232339703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-8.104411666666666,26,0.22313019633293152,41,91.58333333333333,12,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.81448241212638,-8.38705219600755,0.025547445255474453,17.035265482983892,-0.06603978107092559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.489627289352939,-9.436600920588837,0.01232394366197183,14.113810385087627,-0.11795751150736047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.43440078760614,-5.340540165338276,0.03663366336633663,18.65456721839659,-0.03985477735327072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.483293113764375,-9.102700358288853,0.0109151973131822,12.805837861427495,-0.11821688776998511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-8.097304812500001,26,0.22313019633293152,56,94.5625,16,1513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.42393608391285,-7.607232994854568,0.0136986301369863,14.38977723950784,-0.09752862813916113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.27241732389666,-6.059611090308083,0.02434928631402183,16.027082687229896,-0.05092110159922759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.694812203146284,-7.623382529974425,0.01068566340160285,12.522285633906748,-0.10301868283749223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0140617917059,-5.775867627024113,0.02185792349726776,16.83086836648959,-0.05348025580577883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.8330006999999995,27,0.22313019633293152,68,94.4,20,1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.80728512746282,-4.05792391283438,0.03458498023715415,18.554200647861393,-0.02983767582966456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.80116483103484,-8.099109411043958,0.019880715705765408,18.013693469695408,-0.09203533421640862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.86003218521364,-8.369572741805964,0.008991008991008992,10.50432036515758,-0.13499310873880588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.247830845881253,-7.881929264561268,0.01797945205479452,17.985126218047817,-0.08757699182845854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.712733041666667,27,0.22313019633293152,82,94.16666666666667,24,2260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.439813994104043,-9.236000552019085,0.010700389105058366,10.823726401536812,-0.16203509740384361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.095145972562023,-6.114622082005976,0.023417172593235037,17.743408522114,-0.05138337884038635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.60047174358624,-5.39446957672665,0.022549869904596703,17.89631617606081,-0.049948792377098615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.062034544534981,-8.053986934726826,0.011142061281337047,12.46852046665623,-0.12390749130348963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.6407756071428565,27,0.22313019633293152,94,93.03571428571429,28,2605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.48370454250835,-8.61375625130742,0.01929530201342282,17.139287834503413,-0.07975700232692055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.566223245463334,-8.488339414562931,0.014534883720930232,15.099933579188734,-0.10610424268203664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.071150125120766,-9.325366314786795,0.006666666666666667,9.629804838228898,-0.13515023644618543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.413822887465358,-7.671860897603454,0.020462633451957295,15.884102894009779,-0.07169963455704163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.75244009375,27,0.22313019633293152,108,92.65625,32,2965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.259854035626631,-9.338372984684685,0.009235936188077247,11.394252432333353,-0.14149049976794978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.950075164146256,-7.068600241025777,0.010230179028132993,12.11313768507209,-0.09062308001315099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.408129199407995,-8.264354924099791,0.009115770282588878,13.2407064177625,-0.13118023689047287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.335749540652614,-8.288368039582753,0.02468085106382979,19.917568532371824,-0.06630694431666202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.80763397222222,26,0.22313019633293152,122,91.47222222222223,36,3293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.537489695241675,-6.665599720340603,0.01100762066045724,12.771710120569407,-0.08030843036554944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.102881245082244,-8.087725256152769,0.014828544949026877,15.142806909659345,-0.09296235926612378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.905451979720965,-8.71414004569142,0.008687258687258687,10.205466399773133,-0.13615843821392845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
