custom/mean_reward,custom/total_distance,custom/routes_completed,custom/avg_speed,custom/total_reward,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,train/std,attention/throttle_share/lidar,attention/throttle_share/angle,attention/throttle_share/prev_action,attention/throttle/speed,attention/throttle/cam,attention/throttle_share/waypoints,attention/steer/speed,attention/steer_share/angle,attention/throttle/angle,attention/steer/sensors,attention/steer_share/lidar,attention/throttle/sensors,attention/steer/cam,attention/steer_share/prev_action,attention/steer_share/waypoints,attention/throttle_share/maneuver,attention/throttle/maneuver,attention/steer/maneuver,attention/steer_sensors_vs_route,attention/steer_share/cam,attention/steer/route,attention/steer_share/speed,attention/throttle/waypoints,attention/steer/waypoints,attention/steer_share/maneuver,attention/throttle/lidar,attention/steer/angle,attention/throttle_share/speed,attention/throttle/prev_action,attention/throttle/route,attention/steer/lidar,attention/steer/prev_action,attention/throttle_share/cam,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/n_updates
-0.09550288911876358,11.846812597941607,0.007514088916718848,12.549013692330357,-6.589699349194687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.030283554500702508,16.32641801913269,0.011140235910878113,13.996156096895877,-2.5741021325597133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.13798821531928768,8.925084707327187,0.005030743432084964,12.148635312411912,-7.451363627241534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.11710654586664704,10.655492869322188,0.004842615012106538,12.182092189167282,-7.4948189354654104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69.82142857142857,1955,69,28,28,-6.061924785714284,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.11700298630535647,9.526641516480595,0.004118616144975288,11.64713320222513,-7.020179178321388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.18173728545271514,6.084875844651833,0.002859866539561487,9.201860041250757,-8.905126987183042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.019136935530153915,16.416338359937072,0.007178106774338268,14.261518027562085,-1.607502584532929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.06062305694375751,15.059178529598285,0.007146047342563644,14.48118795214844,-4.607352327725571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,69.375,2220,78,32,28,-6.0003683125,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.10420684291011426,11.254338363418356,0.004600585529067336,12.675424322754699,-6.773444789157427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.02785287067787584,44.409690983593464,0.02054154995331466,22.82558472550362,-3.9272547655804937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.16285240199259884,6.705367758870125,0.003403014098201264,9.686661755722474,-8.30547250162254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.16695573428180044,5.859403477981687,0.0021213406873143827,8.364620551353305,-8.681698182653623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,70.13888888888889,2525,88,36,28,-6.1065940833333325,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.039685132717901715,22.240488209412433,0.013472137170851195,15.257364515760955,-4.2066240680975815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.05168769177520546,25.397732897428796,0.016318537859007835,19.657433842895948,-4.858643026869314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.12887026756584344,8.83939911390189,0.005420054200542005,10.826489499181001,-7.732216053950606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.1695980558636943,6.015801089815795,0.0033975084937712344,9.421782428102823,-7.971108625593633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,70.7,2828,98,40,28,-6.1185927499999995,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.047132896549094555,27.453712511109188,0.011513157894736841,19.368446840364054,-4.854688344556739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.1663925858479549,7.344101300928742,0.004660452729693742,10.603651177768187,-8.486021878245701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.08414566327276628,14.220929025439546,0.009345794392523364,13.493411584689053,-6.479216072003004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.08170702572790481,11.569071393634658,0.0052677787532923615,12.254547124844194,-5.637784775225432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,71.0,3124,109,44,28,-6.144071659090908,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.14277560920489532,8.43328074121382,0.005674653215636823,10.689291307593608,-8.280985333883928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.13070235191404184,9.676849356852472,0.004413928396272682,11.620547408015009,-7.972843466756552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0852510038234488,12.047120681032538,0.006269592476489028,11.888569549621337,-6.308574282935211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.08933103809051686,15.214516070438549,0.01061320754716981,15.224245729438822,-6.521165780607731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,70.54166666666667,3386,117,48,28,-6.240125416666667,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.13879628353718032,6.880397807341069,0.002682163611980331,9.079643814681768,-7.772591878082098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.10065904972444314,11.442902051494457,0.005135387488328665,12.13778720227877,-6.945474430986577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0554121032771371,17.21305097063305,0.010981912144702842,13.48327009764813,-5.153325604773751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07099018064170541,40.1521669459471,0.02342786683107275,21.2482698517467,9.72565474791364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
