custom/avg_speed,custom/routes_completed,custom/total_reward,custom/avg_center_dev,custom/total_distance,custom/mean_reward,rollout/ep_len_mean,time/fps,time/time_elapsed,train/std,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/critic_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,train/ent_coef,train/actor_loss
11.788211038842158,0.28205128205128205,10.948195840603745,0.3302238546846086,11.291485724737868,0.15640279772291063,,,,,,,,,,,,,
17.329847614058757,0.09745762711864407,18.436124508188392,0.41267904130904426,23.649188733194023,0.18622347988069082,,,,,,,,,,,,,
17.91302073018548,0.43103448275862066,24.26825055053005,0.4375388521144463,25.161313955439255,0.23792402500519655,,,,,,,,,,,,,
10.188754728908394,0.16981132075471697,1.988599758807009,0.4411680102907221,8.788275852231891,0.03156507553661919,,,,,,,,,,,,,
,,,,,,82.5,21,15,0.04978706315159798,13.838682250000002,4,330,,,,,,
12.154409486236101,0.20689655172413793,18.2446161551606,0.25467905167881455,12.336444595712237,0.24654886696162973,,,,,,,,,,,,,
10.90694704571157,0.02284263959390863,-1.6517687775527037,0.5829484083890294,9.287040870403871,-0.02664143189601135,,,,,,,,,,,,,
11.888796204687637,0.25,2.2345080826883006,0.46016402320762334,10.243655700585805,0.03546838226489366,,,,,,,,,,,,,
10.632107349113413,0.021176470588235293,5.736695482028194,0.3305812986191867,9.145925027434714,0.09105865844489197,,,,,,,,,,,,,
,,,,,,73.5,21,26,0.04978706315159798,9.954164,8,588,,,,,,
10.300595335475924,0.2222222222222222,1.5192667185711795,0.5101739664204054,10.032687803264707,0.021398122796777174,,,,,,,,,,,,,
8.78844629919519,0.027472527472527472,13.883773048456973,0.14974043382920646,10.12349354464095,0.16528301248163063,,,,,,,,,,,,,
15.664877106470929,0.42857142857142855,1.572790403198228,0.7732142118601697,17.651381198083982,0.0191803707707101,,,,,,,,,,,,,
10.602202491321693,0.019704433497536946,-2.1137794755719588,0.5299616301870762,8.260737371398136,-0.037083850448630856,,,,,,,,,,,,,
,,,,,,73.16666666666667,21,40,0.04978706315159798,7.850849666666666,12,878,,,,,,
17.433208917806642,0.14977973568281938,28.738406830497226,0.5506489514206298,31.739656360819936,0.2177152032613426,,,,,,,,,,,,,
9.525703756998066,0.013196480938416423,2.2004409836098713,0.4001383069129036,8.600332336733118,0.033340014903179865,,,,,,,,,,,,,
10.21462779404306,0.22727272727272727,3.047940586648952,0.44355457251539343,9.93113333079964,0.042928740657027495,,,,,,,,,,,,,
10.675149319947934,0.022727272727272728,-0.20962510501165,0.47202173665760344,8.752714475383982,-0.0034937517501941666,,,,,,,,,,,,,
,,,,,,75.1875,22,53,0.04978706315159798,7.9814276875,16,1203,,,,,,
