custom/avg_speed,custom/routes_completed,custom/mean_reward,custom/total_reward,custom/total_distance,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/std,time/fps,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,train/ent_coef_loss
11.49267835803931,0.28205128205128205,0.1641082534940712,11.487577744584986,11.016106609255075,,,,,,,,,,,,,
15.46760808685259,0.07627118644067797,0.3782681665480302,31.396257823486508,17.738380485912785,,,,,,,,,,,,,
21.169079714710445,0.7068965517241379,0.24118846986534007,32.80163190168625,39.746782569098286,,,,,,,,,,,,,
13.275209239139595,0.3018867924528302,0.14366505928456913,12.211530039188375,15.50367711763829,,,,,,,,,,,,,
,,,,,370,4,21.903128,0.04978706315159798,21,92.5,16,,,,,,
7.7614027179399585,0.10344827586206896,-0.09259405425017038,-5.092672983759371,5.793050956912339,,,,,,,,,,,,,
11.782245698396313,0.02284263959390863,0.08164342973039526,4.81696235409332,9.512602006783709,,,,,,,,,,,,,
14.247871509742103,0.3409090909090909,0.07574226426303267,5.68066981972745,14.691471942060161,,,,,,,,,,,,,
9.86721594650833,0.01647058823529412,-0.039288920844595676,-2.1216017256081665,7.275027823634446,,,,,,,,,,,,,
,,,,,609,8,11.32641475,0.04978706315159798,21,76.125,28,,,,,,
9.437946926525944,0.2,0.10749534224049125,7.632169299074878,9.162035857094452,,,,,,,,,,,,,
9.592968938756496,0.027472527472527472,0.11983751301898575,9.227488502461902,10.069254063768312,,,,,,,,,,,,,
16.016732834628574,0.5476190476190477,0.3229605815940635,31.650136996218222,21.601561812334694,,,,,,,,,,,,,
10.410664669386028,0.024630541871921183,-0.03465995620208776,-2.495516846550319,10.271079112077132,,,,,,,,,,,,,
,,,,,923,12,11.361753999999998,0.04978706315159798,21,76.91666666666667,42,,,,,,
12.70609688507069,0.06607929515418502,0.19161829113571904,15.521081581993244,14.146872207988054,,,,,,,,,,,,,
