custom/total_reward,custom/overtake_reward,train/n_updates,custom/total_distance,custom/mean_reward,train/ent_coef,custom/avg_speed,train/ent_coef_loss,custom/routes_completed,train/critic_loss,custom/blocked_time,train/actor_loss,custom/overtakes,train/learning_rate,time/fps,rollout/ep_rew_mean,train/std,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,attention/throttle_share/next_angle,attention/throttle_share/maneuver,attention/steer_share/prev_action,attention/steer_share/cam,attention/steer_share/maneuver,attention/throttle/sensors,attention/steer/cam,attention/throttle/lidar,attention/steer/prev_action,attention/steer/lidar,attention/throttle/cam,attention/throttle/prev_action,attention/throttle/waypoints,attention/steer/speed,attention/steer/waypoints,attention/throttle/next_angle,attention/throttle_share/waypoints,attention/steer_share/speed,attention/steer_sensors_vs_route,attention/throttle/speed,attention/throttle/route,attention/steer/sensors,attention/steer_share/waypoints,attention/steer_share/lidar,attention/steer_share/next_angle,attention/throttle/maneuver,attention/throttle_share/cam,attention/throttle_share/prev_action,attention/throttle_share/lidar,attention/throttle_share/speed,attention/steer/maneuver,attention/steer/route,attention/steer/next_angle
16.730644348555956,0.0,12238,69.87487700366182,0.08899278908806359,0.2992555499076843,26.845325611382325,-3.579847812652588,0.03455497382198953,0.2565694749355316,0.0,-27.163732528686523,0,9.99557610550473e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1173911134002186,0.0,12366,30.971510972827673,0.024165822584497818,0.2952602803707123,17.41647010488952,-3.918948173522949,0.014824797843665768,0.170856311917305,0.0,-21.98977279663086,0,9.995550644798838e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236.0509907562826,180.9908377997859,13365,379.05777272209525,0.2360509907562826,0.26719900965690613,27.318437646052452,-4.359015941619873,0.18246687054026503,0.14518335461616516,0.0,-21.08527374267578,0,9.99535193306557e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,13.90340748,0.22245313227176666,23366,192,61,166.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.36235435056476,0.0,13564,65.48594787187176,0.3968117717528238,0.2619357705116272,23.663284831168486,-3.9932756423950195,0.03577235772357724,0.16703690588474274,9.950000000000006,-20.607837677001953,0,9.995312350084538e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.38076712647737,0.0,13917,151.85704448632896,0.2553129014872242,0.25279203057289124,30.94493490435481,-4.900984764099121,0.08908554572271386,0.27949050068855286,4.6499999999999915,-22.16501235961914,0,9.995242135241626e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.45137668731363,0.0,14189,123.1908913247753,0.26172665453228433,0.24595622718334198,32.54651774698919,-4.448105812072754,0.058476881233000905,0.07559217512607574,5.249999999999989,-21.761821746826172,0,9.99518803218897e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.827273877669093,0.0,14377,63.20050794898998,0.03083213691888409,0.24140146374702454,24.17765551872253,-4.468026638031006,0.0382089552238806,0.079664446413517,0.0,-22.71637725830078,0,9.995150637517995e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,16.684027020000002,0.22246615588665009,24378,196,107,174.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.682877796924906,0.48050718217944544,14586,76.31758960688603,0.11277560855678527,0.2363736629486084,26.25048367603527,-4.450998783111572,0.032541776605101144,0.28477370738983154,0.0,-23.015911102294922,0,9.995109065865233e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.21056749508611,0.0,14738,49.05831528408453,0.11902331696134713,0.23279081284999847,23.216837207015104,-4.907968521118164,0.03153669724770642,0.37905633449554443,7.599999999999981,-22.084409713745117,0,9.995078831990525e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.65928560310195,0.0,14935,59.043701788410544,0.336663058601525,0.2282828539609909,21.534481854506087,-4.2098493576049805,0.02950668510834486,0.1771906018257141,9.850000000000005,-20.834362030029297,0,9.995039647366023e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.371821975848434,0.0,15058,32.637949513446074,0.019127596579422854,0.22552679479122162,19.047313918963376,-4.005682945251465,0.02092580849714648,0.39528360962867737,2.0500000000000007,-20.30759048461914,0,9.995015181878197e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,18.04841858,0.22245967388153076,25059,200,137,178.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.803466478829755,43.94242740349649,15268,83.30758741119644,0.12703064681909837,0.2209300547838211,28.516809883191247,-4.57719612121582,0.04090419806243272,0.19360461831092834,0.0,-21.72955322265625,0,9.994973411602679e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.345499387145054,0.0,15421,51.60039105871692,0.3204253206957471,0.21763458847999573,24.239675441954525,-4.415037155151367,0.0273972602739726,0.32244524359703064,2.25,-21.10590171813965,0,9.994942979028607e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197.48553432155862,47.54594290666664,16236,362.68613289669156,0.24201658617838065,0.2010076493024826,32.0295015746301,-5.496909141540527,0.22941546197360152,0.13690248131752014,0.49999999999999994,-20.307292938232422,0,9.994780871657243e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186.32332843812864,0.0,16932,312.94037162559107,0.2673218485482477,0.18778778612613678,32.35154209120913,-5.256596565246582,0.20744356314826112,0.1568005383014679,11.450000000000028,-19.158485412597656,0,9.994642434997079e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,22.79069693,0.2223910391330719,26933,204,225,194.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.557945165900627,26.412352561608333,17134,63.58515611063922,0.07171401559556959,0.18411751091480255,22.630257043357112,-5.405231952667236,0.03867403314917127,0.2479541003704071,0.0,-19.627573013305664,0,9.994602256721524e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383.9733393322859,263.92270001624496,18532,522.1256504509365,0.27446271574859604,0.1606186330318451,26.89099913690057,-5.169647693634033,0.21428571428571427,0.13165833055973053,10.400000000000013,-18.056957244873047,0,9.994324193454926e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.56999349848576,0.0,19012,202.6838855529204,0.15087316735651923,0.15326550602912903,30.373651854622462,-5.139754295349121,0.12719050310910118,0.13448907434940338,9.950000000000006,-17.890954971313477,0,9.99422872198525e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19999,,,0.13917745649814606,,-5.549468994140625,,0.10429000854492188,,-17.451045989990234,,9.994032410215781e-05,,,,,,,,0.8333643078804016,4.197112083435059,25.719505310058594,32.36018753051758,4.173050880432129,0.18283489346504211,0.4028920829296112,0.04588863626122475,0.3202139735221863,0.10354474931955338,0.15155762434005737,0.029690656810998917,0.017300359904766083,0.04824598506093025,0.3068837523460388,0.0025813737884163857,5.585205554962158,3.875105142593384,1.4151513576507568,0.049733966588974,0.027452491223812103,0.45373931527137756,24.64882469177246,8.316688537597656,0.9066399335861206,0.013000695034861565,48.928489685058594,9.585258483886719,14.8145751953125,16.055992126464844,0.05195547640323639,0.3206295371055603,0.01128788385540247
444.89474511925135,178.58780025145649,20926,632.0918598454446,0.2323210157280686,0.1270127296447754,23.780465407029567,-5.2098212242126465,0.28765323992994746,0.1527608036994934,5.14999999999999,-16.357341766357422,0,9.99384803405711e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,32.18182431,0.22198323905467987,30927,208,416,231.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.63065184180257,0.0,21181,100.56018201634288,0.4594947337570413,0.12387043237686157,28.33965880741059,-6.747951507568359,0.06276923076923077,0.13726896047592163,12.750000000000046,-17.54860496520996,0,9.993797315996082e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.58586461669981,50.664333035987376,21526,114.79792942816857,0.14331174744710928,0.11976216733455658,23.941660763028256,-5.838001728057861,0.06760728982951206,0.1354948729276657,0.0,-17.11758804321289,0,9.993728697648799e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.79383597294779,72.22826853350229,21950,155.32193148555234,0.18069137875987715,0.11491425335407257,26.35537270851294,-6.190349578857422,0.06672369546621043,0.0717669427394867,0.0,-16.69559097290039,0,9.99364436701874e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313.411422217546,224.9712733032488,23276,465.349906379357,0.23618042367561867,0.10101016610860825,25.280045016333883,-5.626258850097656,0.22903225806451613,0.08482180535793304,8.649999999999988,-16.755950927734375,1,9.993380637214692e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,37.90750834,0.22163650393486023,33277,212,520,251.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.35549772071786,0.0,23661,165.42669266962912,0.2781230510899427,0.09726423770189285,30.892457068361548,-5.723571300506592,0.08759124087591241,0.1129252165555954,10.350000000000012,-16.636857986450195,0,9.993304064736692e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.931866957198828,0.0,23936,101.67225919407792,0.014245894772459522,0.09468459337949753,26.580903429965826,-7.292593479156494,0.04326710816777042,0.17355093359947205,0.0,-16.918426513671875,0,9.993249370290063e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.51262277252017,54.55528801859227,24358,170.95835797535256,0.20215750064425572,0.09087464958429337,29.126130286961853,-5.63215446472168,0.08697863682604273,0.17871618270874023,4.199999999999993,-16.375202178955078,0,9.993165439468132e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.87737800085718,0.0,24686,179.22055312711746,0.18503762310290936,0.08803609013557434,39.28712232563296,-6.041743278503418,0.07537894305612454,0.10347938537597656,0.0,-16.743499755859375,0,9.993100204382006e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,40.74639043,0.22133728861808777,34687,216,582,263.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142.61739673714828,125.54009728943088,25184,215.3459331197664,0.2858064062868703,0.08386451005935669,31.11182116935408,-5.971473693847656,0.10128458498023715,0.07022500783205032,0.0,-16.309925079345703,0,9.99300115883718e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.543530385374602,0.0,25268,29.313112718053162,0.15933565159264237,0.08318676799535751,24.987421747020807,-6.629610061645508,0.014478282576135796,0.3371225893497467,1.7000000000000008,-16.415393829345703,0,9.992984452408363e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.60178666405734,43.25002368248082,25473,79.85185271315277,0.15826110031095797,0.08156942576169968,27.993151171033407,-5.31259822845459,0.0364797081623347,0.10928729176521301,0.1,-16.953044891357422,0,9.992943680825525e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.64357958915011,0.0,25990,182.45739497058094,0.16726559766245194,0.07758178561925888,25.413411659737225,-5.911072731018066,0.08216783216783216,0.15050378441810608,17.450000000000113,-16.58336639404297,0,9.992840857253714e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21,43.744964399999986,0.22112607955932617,35991,220,642,273.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
