train/learning_rate,train/ent_coef_loss,train/ent_coef,custom/routes_completed,train/n_updates,custom/total_reward,custom/total_distance,custom/avg_speed,custom/mean_reward,train/critic_loss,train/actor_loss,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/std,rollout/ep_len_mean
3.033781645889982e-05,-6.112217374145985,0.07941985200159252,3.1004098360655736,94080,2181.4387134694493,1469.0026422396768,20.840630800213013,0.5386268428319628,0.1885765758343041,-28.45521530508995,,,,,,,
,,,0.3,,-8.055642306258981,3.059191411593929,8.377816204219432,-0.28770151093782076,,,,,,,,,
,,,,,,,,,,,17,227,424.64172278999996,104108,292,0.04976753890514374,865.88
3.0307505028262733e-05,-6.358153223991394,0.07927489711437374,0.06896551724137931,94144,-8.112785549721618,3.819501996971667,9.362282915058026,-0.2617027596684393,0.32607870013453066,-28.426902920007706,,,,,,,
