custom/total_distance,train/actor_loss,terminal/stopped,train/critic_loss,train/n_updates,terminal/off_track,terminal/collision_vehicle,custom/overtake_reward,custom/avg_speed,train/ent_coef_loss,terminal/collision_other,custom/mean_reward,terminal/route_done,train/learning_rate,custom/blocked_time,custom/overtakes,custom/total_reward,train/ent_coef,terminal/too_fast,custom/routes_completed,terminal/solid_line,rollout/ep_len_mean,train/std,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,attention/steer/route,attention/throttle_share/waypoints,attention/steer_share/cam,attention/steer/lidar,attention/steer/next_angle,attention/steer/maneuver,attention/throttle/maneuver,attention/steer_share/speed,attention/throttle/prev_action,attention/throttle/speed,attention/steer_share/maneuver,attention/steer/waypoints,attention/throttle_share/cam,attention/throttle/route,attention/steer/prev_action,attention/steer_share/next_angle,attention/throttle/lidar,attention/throttle/cam,attention/throttle/sensors,attention/steer/cam,attention/throttle/waypoints,attention/steer_share/lidar,attention/throttle_share/next_angle,attention/steer/speed,attention/steer_share/prev_action,attention/steer/sensors,attention/throttle_share/maneuver,attention/steer_share/waypoints,attention/throttle_share/prev_action,attention/throttle/next_angle,attention/steer_sensors_vs_route,attention/throttle_share/lidar,attention/throttle_share/speed
217.67164593096823,-19.441858291625977,0.0,0.06946787238121033,149384,0.0,0.0,160.65015913366892,39.45615549099507,-0.8961697816848755,0.0,0.379518068778531,0.0,9.968358126901957e-05,0.0,0,151.04819137385533,0.010686266236007214,0.0,0.10575916230366492,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,592.65,0.19244761765003204,20,440,165.52936235,159385,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.65261285379529,-18.76827621459961,0.0,0.06692244857549667,149575,0.0,1.0,61.51397048862726,37.83760763139047,0.49467790126800537,0.0,0.25953189339745125,0.0,9.968320238660059e-05,0.0,0,49.83012353231064,0.010648787021636963,0.0,0.06257744733581165,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-16.22393035888672,,0.02679184451699257,149999,,,,,-5.918529510498047,,,,9.968236130989032e-05,,,,0.010514557361602783,,,,,,,,,,,0.33760860562324524,4.265875339508057,35.39519119262695,0.37672507762908936,0.018628079444169998,0.048281218856573105,0.021679993718862534,9.661233901977539,0.10383912920951843,0.2121553122997284,2.368154764175415,0.31795674562454224,43.920230865478516,0.05563051998615265,0.3585817813873291,0.9136922955513,0.15364328026771545,0.4247480034828186,0.4661686420440674,0.721626341342926,0.04125484079122543,18.47806167602539,1.0101439952850342,0.19697028398513794,17.588146209716797,0.8394083380699158,2.241776943206787,15.5955228805542,10.73728084564209,0.009768998250365257,2.4863357543945312,15.887181282043457,21.937501907348633
196.3229240695946,-16.266624450683594,0.0,0.03687452897429466,150181,1.0,0.0,3.506170602092878,23.323830720268287,-3.670097827911377,0.0,0.2731730489369627,0.0,9.96820002827737e-05,28.700000000000273,0,165.81604070473637,0.01040177047252655,0.0,0.1275841701122268,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176.30638400558382,-16.3001708984375,0.0,0.038825780153274536,150470,1.0,0.0,18.969369617305613,43.84554238525846,0.07361477613449097,0.0,0.15867648536185675,0.0,9.968142700480124e-05,2.5999999999999988,0,46.01618075493845,0.010307706892490387,0.0,0.09905397885364496,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.62176077626646,-15.169870376586914,0.0,0.26457715034484863,150627,0.0,1.0,5.435709998945026,37.33372563304888,-3.1216278076171875,0.0,-0.05634832571764805,0.0,9.968111557074946e-05,2.000000000000001,0,-8.903035463388392,0.010265161283314228,0.0,0.04270051933064051,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,594.65,0.19252637028694153,85,444,164.719705,160628,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189.2147177606821,-15.864509582519531,0.0,0.043433625251054764,150953,1.0,0.0,0.0,41.73765409004271,-3.171532154083252,0.0,0.2463897163864025,0.0,9.968046890033109e-05,0.0,0,80.56943725835362,0.010225321166217327,0.0,0.11618004866180048,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206.15879796631634,-14.3450288772583,0.0,0.06345142424106598,151698,1.0,0.0,8.619911296101586,19.93104937542924,1.418174386024475,0.0,0.3094715921145705,0.0,9.967899108781032e-05,36.150000000000084,0,230.86580771746958,0.01004561223089695,0.0,0.12870159453302962,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328.2466670270078,-15.368797302246094,0.0,0.0420013964176178,152761,1.0,0.0,123.32877157697146,22.231192139576123,1.9286777973175049,0.0,0.3806730839415498,0.0,9.967688249652421e-05,37.05000000000003,0,405.036161313809,0.009825903922319412,0.0,0.2006880733944954,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914.9365982166491,-16.212034225463867,0.0,0.04821635037660599,154629,0.0,1.0,274.83376546847893,35.27857127262186,2.4504566192626953,0.0,0.2922237974659845,0.0,9.967317714299947e-05,5.04999999999999,2,546.166277463925,0.009916682727634907,0.0,0.4705,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,616.07,0.1920585334300995,292,448,171.55429117,164630,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305.2048491695896,-15.936129570007324,0.0,0.041772883385419846,155417,0.0,1.0,0.0,27.876354678074613,2.0740535259246826,0.0,0.07274090163539537,0.0,9.967161409171441e-05,0.05,0,57.39257139032695,0.009979340247809887,0.0,0.19987546699875466,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377.7963198237121,-15.873022079467773,0.0,0.07413148880004883,156150,0.0,0.0,133.1674469350172,37.10824193033024,1.75392746925354,0.0,0.2208539455631761,0.0,9.96701601477065e-05,3.7499999999999947,1,162.10679604337128,0.010099872015416622,1.0,0.15965626413387607,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.22873173840344,-16.4029541015625,0.0,0.11193951964378357,156397,1.0,0.0,77.97651811014487,36.714224437180356,1.32743501663208,0.0,0.29173254365623796,0.0,9.966967021263128e-05,2.3499999999999996,1,72.34967082674702,0.010128645226359367,0.0,0.07645631067961164,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.51161959581077,-17.480560302734375,0.0,0.09371979534626007,156531,0.0,1.0,36.35514264138065,29.21120584052176,-4.349705696105957,0.0,0.15043473442616487,0.0,9.966940441840051e-05,0.0,0,20.308689147532256,0.010148354806005955,0.0,0.02220324508966695,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,621.72,0.19194994866847992,393,452,171.76413853000003,166532,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681.7569912411273,-16.83053207397461,0.0,0.03160983324050903,158392,0.0,0.0,401.02214517401944,26.37736129517738,2.6440701484680176,0.0,0.21435890783199013,0.0,9.966571308907923e-05,0.0,1,399.1362863831656,0.010379469953477383,0.0,0.2673841059602649,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625.9412692300975,-16.000755310058594,0.0,0.028759542852640152,159884,0.0,1.0,119.57782841087277,30.203439669919568,0.33237770199775696,0.0,0.292106602213179,0.0,9.966275372797933e-05,18.500000000000128,1,436.1151571042763,0.010137327946722507,0.0,0.3601765030336459,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-15.696806907653809,,0.062662273645401,159999,,,,,-8.534429550170898,,,,9.966252562892324e-05,,,,0.010128852911293507,,,,,,,,,,,0.5465949773788452,6.678985118865967,28.983564376831055,0.348412424325943,0.018356041982769966,0.07142364233732224,0.0326840803027153,7.93166446685791,0.10201705992221832,0.19665208458900452,3.591681957244873,0.516788899898529,40.23102951049805,0.08472952246665955,0.29951316118240356,0.9230706095695496,0.18416008353233337,0.39439016580581665,0.4436642825603485,0.5763627290725708,0.0654749870300293,17.52062225341797,0.5034050345420837,0.15772786736488342,15.061624526977539,0.6665968894958496,3.3340439796447754,25.987773895263672,10.406576156616211,0.0049349470064044,1.219544529914856,18.785837173461914,20.060123443603516
576.4905018666759,-17.255687713623047,0.0,0.12008395791053772,161150,0.0,1.0,318.17261731959945,32.78005211314322,0.06076668202877045,0.0,0.2624305129889666,0.0,9.966024266934507e-05,1.3500000000000005,2,332.4994599570207,0.009901553392410278,0.0,0.23772609819121446,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.71457631979138,-16.50973892211914,0.0,0.06046365574002266,161699,0.0,0.0,80.51043880279212,29.444360076875675,1.1087453365325928,0.0,0.17224687910526573,0.0,9.965915376043654e-05,0.0,0,94.73578350789616,0.009802686981856823,0.0,0.1141602634467618,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,620.11,0.19172850251197815,654,456,169.36550982,171700,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167.96477511967532,-16.480459213256836,0.0,0.09620852768421173,162032,0.0,1.0,0.0,36.25662788295045,0.8223943114280701,0.0,0.03411784154128202,0.0,9.965849327761823e-05,4.6499999999999915,0,11.395359074788196,0.009701991453766823,0.0,0.08559919436052367,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.8725440625567,-15.993027687072754,0.0,0.058925285935401917,162253,0.0,1.0,0.0,35.07430456947461,-0.5462698936462402,0.0,-0.005316135711308167,0.0,9.965805494038559e-05,5.749999999999988,0,-1.1801821279104132,0.009663581848144531,0.0,0.0800794176042356,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.37715790304355,-16.456905364990234,0.0,0.07184262573719025,162388,0.0,1.0,34.02384848173124,24.639425185360636,-4.209033489227295,0.0,0.12623731023357998,0.0,9.965778717829935e-05,2.6999999999999984,0,17.168274191766876,0.009647357277572155,0.0,0.029228855721393034,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323.1252974080853,-15.78948974609375,0.0,0.05852595344185829,163383,0.0,1.0,124.62863661054186,23.38111335705938,-1.9178379774093628,0.0,0.3632943723886889,0.0,9.965581368370442e-05,35.70000000000011,0,361.8411948991341,0.009496909566223621,0.0,0.20151426907396622,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,598.94,0.19150643050670624,742,460,162.80698027,173384,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.797624504193664,-16.614137649536133,0.0,0.6788958311080933,163493,1.0,0.0,3.496531255776944,24.63794612751216,0.7934635281562805,0.0,0.2456062682814847,0.0,9.965559550962815e-05,0.7500000000000001,0,27.262295779244802,0.009468432515859604,0.0,0.0220763723150358,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244.93663957621902,-15.289346694946289,0.0,0.06648491322994232,164146,0.0,1.0,32.45727752574292,26.99571307306458,0.8106833696365356,0.0,0.1808544781355582,0.0,9.965430035391716e-05,18.00000000000012,0,118.27882870065505,0.009333073161542416,0.0,0.14105925537493444,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
