custom/avg_speed,custom/total_distance,custom/total_reward,custom/routes_completed,custom/mean_reward,custom/avg_center_dev,time/episodes,time/fps,time/time_elapsed,time/total_timesteps,train/std,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss
11.541938925389683,10.899889347376302,11.133844200124123,0.28205128205128205,0.16136006087136412,0.31458317041823797,,,,,,,,,,,,,
18.802324638199885,25.1604100628756,20.01845996775344,0.1059322033898305,0.20637587595622103,0.3723507605128321,,,,,,,,,,,,,
18.072648473867616,24.128284211154096,17.33765356687935,0.43103448275862066,0.1787386965657665,0.5367215739020695,,,,,,,,,,,,,
10.40132536359092,9.255030346277636,5.952572342338247,0.16981132075471697,0.09157803603597303,0.3395554131612772,,,,,,,,,,,,,
,,,,,,4,20,15,324,0.04978706315159798,81.0,13.53902025,,,,,,
11.988074652648246,12.347344322013669,7.162246905708393,0.22413793103448276,0.09549662540944524,0.4475585760610762,,,,,,,,,,,,,
9.707951912694975,7.413016758859158,-0.5565402626747726,0.017766497461928935,-0.009938218976335225,0.4346502245080147,,,,,,,,,,,,,
12.233106323586293,11.219550389563665,4.109467999647274,0.2727272727272727,0.06133534327831752,0.458630415057979,,,,,,,,,,,,,
10.464236060691558,9.451921315092477,12.032544276033136,0.023529411764705882,0.18231127690959295,0.17663664049495384,,,,,,,,,,,,,
,,,,,,8,21,27,584,0.04978706315159798,73.0,9.57722575,,,,,,
10.105252056358962,9.556948865065351,3.377675983160888,0.2222222222222222,0.04895182584291142,0.4628607076408537,,,,,,,,,,,,,
12.513971145822358,18.393497097305954,14.503352032702018,0.04945054945054945,0.13554534610001887,0.39700839574308855,,,,,,,,,,,,,
15.45975127478227,20.42671936703846,29.992146421223936,0.5,0.31241819188774933,0.2660111030129482,,,,,,,,,,,,,
10.925815408717476,10.941507594834547,-2.010450772939099,0.027093596059113302,-0.027540421547110946,0.6089827713932544,,,,,,,,,,,,,
,,,,,,12,21,42,925,0.04978706315159798,77.08333333333333,10.18297275,,,,,,
11.741677971949718,13.00902064004913,13.35754175552389,0.06167400881057269,0.16696927194404862,0.2693184278348563,,,,,,,,,,,,,
9.45326705149794,8.274294619215652,2.746238175078336,0.011730205278592375,0.042909971485599,0.3626975045970701,,,,,,,,,,,,,
10.461981279114783,10.050316385924816,2.60413593704971,0.22727272727272727,0.037201941957853,0.4690530022607345,,,,,,,,,,,,,
10.927757585550724,8.516636536922306,-0.19078847947797506,0.022727272727272728,-0.0033471663066311414,0.5238347823838919,,,,,,,,,,,,,
,,,,,,16,21,55,1192,0.04978706315159798,74.5,8.7765985625,,,,,,
9.052810814689492,7.141382625821279,1.4804120528371598,0.14893617021276595,0.02552434573857172,0.3282800571417409,,,,,,,,,,,,,
13.68182711483515,15.795992385072168,24.85425267801169,0.38095238095238093,0.29588396045252013,0.28916872577879915,,,,,,,,,,,,,
7.91408929436303,6.817039691610262,4.399250296396838,0.07291666666666667,0.06982936978407679,0.16442422133863205,,,,,,,,,,,,,
16.238905390435278,19.873322633095086,26.845279687577126,0.1,0.3016323560401924,0.24818997688359157,,,,,,,,,,,,,
,,,,,,20,20,70,1482,0.04978706315159798,74.1,9.8895122,,,,,,
17.380244539954607,23.9254968255118,18.810035268468983,0.2976190476190476,0.18810035268468983,0.38298420469362,,,,,,,,,,,,,
12.548625328436612,13.086591346102068,-1.875985450945599,0.04234527687296417,-0.024684019091389463,0.680996859093983,,,,,,,,,,,,,
9.658966149070462,8.863766671856865,3.427516415741044,0.03571428571428571,0.051156961428970804,0.3882878602567332,,,,,,,,,,,,,
13.361267109780426,13.57263889897149,19.55943589085217,0.03131115459882583,0.26431670122773204,0.2219184628001773,,,,,,,,,,,,,
,,,,,,24,21,83,1795,0.04978706315159798,74.79166666666667,9.895695083333333,,,,,,
12.693124481052406,13.228619492030703,8.20013212522948,0.3333333333333333,0.10789647533196685,0.45147916760894075,,,,,,,,,,,,,
16.680413160269556,27.839009875198826,29.79680715470156,0.07712765957446809,0.24625460458431042,0.35701825461957015,,,,,,,,,,,,,
10.814152905483887,8.09552899945993,1.5492051419864783,0.13793103448275862,0.02816736621793597,0.3619415618206581,,,,,,,,,,,,,
15.76778290356769,19.76766609516926,6.480945909050657,0.05970149253731343,0.07121918581374348,0.7160450569110817,,,,,,,,,,,,,
,,,,,,28,21,99,2134,0.04978706315159798,76.21428571428571,10.115626714285714,,,,,,
8.654513800019739,5.7410947306780145,-2.671149628197547,0.10344827586206896,-0.05451325771831729,0.41396565028322735,,,,,,,,,,,,,
10.5567705177262,7.914190908893943,-0.35219456775321767,0.07142857142857142,-0.0064035375955130485,0.4398893003450088,,,,,,,,,,,,,
11.002146046078446,8.564326293446356,5.624056462689998,0.20454545454545456,0.0986676572401754,0.32928335794681257,,,,,,,,,,,,,
14.29691980813974,20.63736603036523,41.77711841990134,0.03125,0.4017030617298206,0.08972366021419,,,,,,,,,,,,,
,,,,,,32,21,112,2395,0.04978706315159798,74.84375,10.229053375,,,,,,
15.950907934354777,22.82921855058521,5.4663071141561534,0.5333333333333333,0.052560645328424555,0.7351838163231661,,,,,,,,,,,,,
13.338732464637667,13.908585302066058,13.626754278468468,0.022913256955810146,0.1792993984009009,0.35379031199349825,,,,,,,,,,,,,
11.054740987578453,8.476324800984003,0.21806577644795588,0.21428571428571427,0.0038940317222849264,0.45930463176005604,,,,,,,,,,,,,
12.268028605177708,11.943566089263186,-1.9329678039520868,0.16666666666666666,-0.02722489864721249,0.7982012279196318,,,,,,,,,,,,,
,,,,,,36,21,126,2698,0.04978706315159798,74.94444444444444,9.567279194444444,,,,,,
11.725276747244004,10.598704892909154,2.5685713916433475,0.048458149779735685,0.038917748358232536,0.47046735591827243,,,,,,,,,,,,,
14.277655423446177,18.45990655408241,2.8732874783211066,0.04639175257731959,0.030566888067245817,0.8362613453070671,,,,,,,,,,,,,
12.416882071800204,12.648627190850675,15.070972812639056,0.29545454545454547,0.20366179476539265,0.2627619311997053,,,,,,,,,,,,,
10.998109227345694,11.29610304615926,12.149833899665897,0.041044776119402986,0.16199778532887862,0.2802020199063709,,,,,,,,,,,,,
,,,,,,40,21,138,3003,0.04978706315159798,75.075,9.419956249999998,,,,,,
15.856227049753523,24.024081772309728,15.927973954252334,0.5106382978723404,0.14479976322047577,0.39438442438920723,,,,,,,,,,,,,
10.578582172880237,7.794790293177357,1.379830746253269,0.03463203463203463,0.02555242122691239,0.33018955582980847,,,,,,,,,,,,,
11.254171183998473,10.47828868869692,-2.221490423363041,0.11458333333333333,-0.032668976814162365,0.5651289967517543,,,,,,,,,,,,,
21.31048881754647,42.399029298801906,25.767139579165978,0.2641509433962264,0.17893846929976373,0.5847417405415581,,,,,,,,,,,,,
,,,,,,44,21,154,3375,0.04978706315159798,76.70454545454545,9.485562818181817,,,,,,
15.370093000379645,19.0278429556638,11.280643027639695,0.2261904761904762,0.1253404780848855,0.4137477667722692,,,,,,,,,,,,,
11.299386110953828,11.620595224259887,5.950875259744574,0.06358381502890173,0.079345003463261,0.4805561328645548,,,,,,,,,,,,,
14.716055406746674,17.1991483529564,12.954688615130863,0.06746031746031746,0.15240810135448074,0.4699016407894729,,,,,,,,,,,,,
15.77354676252558,21.711419192841277,6.842702111264842,0.05339805825242718,0.06842702111264842,0.6821805644957682,,,,,,,,,,,,,
,,,,,,48,21,170,3721,0.04978706315159798,77.52083333333333,9.460551333333333,,,,,,
10.347453534323796,8.483610565541312,3.346320905054464,0.20512820512820512,0.05577201508424106,0.37196591912595844,,,,,,,,,,,,,
10.675646225536333,8.606105830171145,-1.4224839500304487,0.020833333333333332,-0.0241098974581432,0.5051174909344398,,,,,,,,,,,,,
10.005639850075646,8.895133970974712,-1.0345485494537918,0.15517241379310345,-0.015916131530058334,0.4599284234897537,,,,,,,,,,,,,
14.563636420629514,19.866321525303647,5.813470544520536,0.04100227790432802,0.05872192469212663,0.5903502171265296,,,,,,,,,,,,,
,,,,,,52,21,182,4000,0.04978706315159798,76.92307692307692,8.856227288461538,,,,,,
