custom/routes_completed,custom/total_reward,custom/avg_speed,custom/total_distance,custom/mean_reward,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,train/std,time/total_timesteps,train/learning_rate,train/ent_coef,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss
0.28205128205128205,11.244294749674467,11.449894454040033,10.81278188014403,0.162960793473543,,,,,,,,,,,,,
0.11016949152542373,16.086825865008745,18.878758677546465,26.552651328849606,0.15771397906871318,,,,,,,,,,,,,
0.46551724137931033,21.964509823007866,18.85496674539257,27.05620179430116,0.2111972098366141,,,,,,,,,,,,,
0.5471698113207547,2.819352725133527,17.601153465858953,29.144385428284295,0.02349460604277939,,,,,,,,,,,,,
,,,,,4,12.957387999999998,23,16,97.75,0.04978706315159798,391,,,,,,
0.13793103448275862,1.818361384681202,9.903558552573577,7.819335183128715,0.031351058356572446,,,,,,,,,,,,,
0.025380710659898477,5.031819380822631,11.72027938136707,10.596519617247395,0.07623968758822168,,,,,,,,,,,,,
0.25,16.848573768441007,11.446022855361049,10.413957624463364,0.25528142073395466,,,,,,,,,,,,,
0.03529411764705882,9.895170303418713,12.544849907387905,14.82757041673176,0.11506011980719433,,,,,,,,,,,,,
,,,,,8,10.642275875,24,26,82.875,0.04978706315159798,663,,,,,,
0.26666666666666666,11.318848430854477,9.861197515257503,11.888230661919806,0.12862327762334633,,,,,,,,,,,,,
0.06868131868131869,45.43795357609789,18.011537974960717,25.314970660605468,0.4454701330989989,,,,,,,,,,,,,
0.2857142857142857,-1.1958287583629925,11.184902301251109,11.34617954766145,-0.016159848085986386,,,,,,,,,,,,,
0.03201970443349754,14.089936630276416,11.959641803568635,12.939275533892214,0.180640213208672,,,,,,,,,,,,,
,,,,,12,12.881232083333332,24,40,83.41666666666667,0.04978706315159798,1001,,,,,,
0.04405286343612335,7.292872844603224,10.097207739674579,9.819287847960368,0.10271651893807357,,,,,,,,,,,,,
0.01466275659824047,2.4489969056471192,9.987201528924855,9.719998828484677,0.03449291416404393,,,,,,,,,,,,,
0.20454545454545456,0.31227854258759713,10.425247240759635,8.701831560465507,0.005119320370288478,,,,,,,,,,,,,
0.015151515151515152,-3.17847227858193,8.264240248004977,5.595982301405456,-0.0635694455716386,,,,,,,,,,,,,
,,,,,16,10.0728466875,24,50,78.125,0.04978706315159798,1250,,,,,,
0.2978723404255319,26.41332035865591,12.812042422949533,13.363594549009576,0.35217760478207877,,,,,,,,,,,,,
0.35714285714285715,11.345768169020243,11.904222887374617,14.213212059112266,0.13041112837954302,,,,,,,,,,,,,
0.125,15.0959152128546,12.77425082672039,12.25418790965341,0.21565593161220856,,,,,,,,,,,,,
0.09473684210526316,22.63838647519735,15.628329175364906,18.452775890240446,0.2632370520371785,,,,,,,,,,,,,
,,,,,20,11.818688900000001,24,64,78.2,0.04978706315159798,1564,,,,,,
0.07142857142857142,5.000393341051332,8.70108781393638,6.332706095185131,0.09434704417077985,,,,,,,,,,,,,
0.02280130293159609,1.412854550633675,9.486539406646903,7.508642305154353,0.02435956121782198,,,,,,,,,,,,,
0.031746031746031744,-2.457690697827573,9.863590701228809,8.223763111513108,-0.040290011439796276,,,,,,,,,,,,,
