train/n_updates,custom/routes_completed,custom/mean_reward,train/learning_rate,custom/avg_speed,custom/blocked_time,train/actor_loss,train/ent_coef_loss,custom/overtakes,train/critic_loss,custom/total_distance,custom/total_reward,train/ent_coef,custom/overtake_reward,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/std,attention/steer/cam,attention/throttle_share/prev_action,attention/steer_sensors_vs_route,attention/throttle/next_angle,attention/steer/next_angle,attention/steer/prev_action,attention/throttle_share/next_angle,attention/steer_share/maneuver,attention/throttle/sensors,attention/throttle/cam,attention/throttle_share/lidar,attention/steer_share/cam,attention/steer_share/lidar,attention/throttle_share/speed,attention/steer/speed,attention/steer/lidar,attention/throttle/route,attention/throttle/waypoints,attention/steer/maneuver,attention/throttle/lidar,attention/throttle/prev_action,attention/throttle_share/maneuver,attention/steer/sensors,attention/steer_share/speed,attention/steer/waypoints,attention/steer_share/waypoints,attention/throttle_share/cam,attention/throttle_share/waypoints,attention/steer_share/next_angle,attention/throttle/speed,attention/steer_share/prev_action,attention/steer/route,attention/throttle/maneuver
28524,0.12303664921465969,0.5988802535411734,9.992338120211131e-05,44.00283814735768,0.0,-22.320396423339844,-8.997669219970703,0,0.10450360178947449,252.63051865296438,247.93642496604576,0.06072596088051796,234.42679132447438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28791,0.049845610939567714,0.037227595965838876,9.992285027977708e-05,29.570843303396057,8.449999999999985,-19.62716293334961,-6.35423469543457,0,0.18360865116119385,109.76121102645993,9.976995718844819,0.05916360765695572,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28992,0.0405936272370144,0.4368590742726992,9.99224505976068e-05,33.344849070180906,0.0,-20.911029815673828,-5.958554267883301,0,0.05050003156065941,93.35498310253024,88.24553300308524,0.058005962520837784,50.677031487170034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29156,0.05422023476802683,0.22269757751812647,9.992212448936648e-05,34.38644034489305,0.0,-20.255901336669922,-7.919055938720703,0,0.08415991067886353,78.53151757270098,36.74510029049087,0.05707802623510361,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,289.91,46,228,22,39157,49.966332200000004,0.2206925004720688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29216,0.009108653220559532,-0.10469868755321296,9.992200518160732e-05,16.123078629865883,0.0,-20.69983673095703,-8.225678443908691,0,0.1025913804769516,13.453584149014205,-6.386619940745991,0.0567341074347496,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29821,0.09155873157659669,0.4572788700871778,9.992080216570245e-05,23.08146349956853,0.0,-19.66347885131836,-7.076437950134277,0,0.04373350366950035,194.01005846774206,277.11099527282977,0.05356478691101074,274.8243497785565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29999,,,9.992044822191285e-05,,,-18.354103088378906,-7.4547553062438965,,0.0653843805193901,,,0.05274169519543648,,,,,,,,,0.41618484258651733,7.960758209228516,1.4718427658081055,0.0029725744388997555,0.011787607334554195,0.2516202926635742,0.5761731266975403,5.276389122009277,0.27497345209121704,0.24423032999038696,11.310147285461426,31.983125686645508,9.713187217712402,20.245132446289062,0.11512156575918198,0.12639418244361877,0.05246122553944588,0.04749441146850586,0.06865973770618439,0.05835095793008804,0.04107089340686798,3.3628861904144287,0.4677446484565735,8.846904754638672,0.3114955425262451,23.937925338745117,47.33908462524414,9.205825805664062,0.9058583974838257,0.10444805771112442,19.33660888671875,0.3177952468395233,0.017349697649478912
30251,0.10269445856634468,0.6228442798503806,9.991994713402968e-05,35.56789455708588,0.0,-20.49700164794922,-6.504110813140869,0,0.07520300149917603,212.70085769332945,268.44588461551405,0.05149708315730095,242.04994174140103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30305,0.0036779730281977932,0.04294522083993829,9.991983975821899e-05,12.984236147448327,1.850000000000001,-19.925186157226562,-7.055512428283691,0,0.16133791208267212,9.724023433635011,2.361987146196606,0.05123621225357056,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,298.83,96,232,22,40306,55.65845357,0.220452681183815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30452,0.027161611588954276,0.3458783281118578,9.99195474576948e-05,30.395242502712797,0.0,-21.300884246826172,-6.834852695465088,0,0.17056627571582794,62.21394048584625,51.189992560554956,0.05051988363265991,73.6448304189801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30607,0.055446836268754074,0.3275303152890433,9.991923925012446e-05,39.23572178425661,0.0,-21.76004409790039,-8.843826293945312,0,0.1258314847946167,84.6240518335253,51.094729185090756,0.04980180040001869,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30793,0.060814383923849816,0.3552913831639843,9.991886940167069e-05,41.975020784804336,3.399999999999996,-20.72283172607422,-4.898406505584717,0,0.17981639504432678,108.77079017227516,66.43948865166506,0.04896507039666176,22.374185003075322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30897,0.025527192008879023,0.260735404338924,9.991866260498566e-05,31.627804509456325,0.0,-22.710391998291016,-5.288252830505371,0,0.2115975320339203,45.82425194885582,27.377217455587022,0.04851338267326355,16.12908265808317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,300.92,123,236,22,40898,57.71057667,0.22016221284866333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30977,0.017266187050359712,0.17756600077220538,9.99185035307589e-05,31.777026679068108,0.0,-22.180679321289062,-5.6928935050964355,0,0.32747799158096313,35.36652899440378,14.382846062548637,0.04819094389677048,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31816,0.2896469180131658,0.5220120207863208,9.991683524747182e-05,40.130430462606284,2.799999999999998,-21.897422790527344,-7.140209674835205,1,0.10610919445753098,467.8483050232753,438.4900974605095,0.044973164796829224,272.76276130974605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
